,school_id,miur_code,text_review,school_name,sentiment
13,29228,,"Lasciamo momentaneamente da parte la filosofia steineriana, visto che chi cerca quella non ha altre alternative nella zona se non venire qua, e parliamo semplicemente dell'approccio delle maestre.Non credo siano tanti gli asili dove le maestre vengono ad accogliere i bimbi e li accompagnano dentro cantando, dove i colloqui individuali durano più di un'ora e parlano di cose così dettagliate che ti fa capire che non sono semplicemente li per tenerti il bambino ma per farlo crescere, dove si mangia sano, dove ci si da tutti una mano anche tra genitori.. peccato solo una cosa: Google non prevede più di cinque stelle per le recensioni!Lasciamo momentaneamente da parte la filosofia steineriana, visto che chi cerca quella non ha altre alternative nella zona se non venire qua, e parliamo semplicemente dell'approccio delle maestre. …Altro",Asilo Colle Fiorito,Positive
14,29228,,Luogo dove i bambini sperimentano sin da piccoli i valori di libertà fratellanza uguaglianza. L'Antroposofia è Una Luce di speranza per il futuro dell'Uomo e dell'umanità.,Asilo Colle Fiorito,Positive
15,29230,TNTD37500F,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Negative
16,29230,TNTD37500F,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
17,29230,TNTD37500F,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Negative
18,29230,TNTD37500F,Ottima struttura vicina al centro città,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
19,29230,TNTD37500F,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
20,29230,TNTD37500F,Il top! La scuola migliore in assoluto!!!!!,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
21,29230,TNTD37500F,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
22,29230,TNTD37500F,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
23,29230,TNTD37500F,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
24,29230,TNTD37500F,Cultura ed educazione al primo posto!,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Neutral
25,29230,TNTD37500F,"Medie e superiori, i ricordi più belli",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
26,29230,TNTD37500F,Interessante,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
27,29230,TNTD37500F,La mia adolescenza in ottima compagnia,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
28,29230,TNTD37500F,"Splendidi ricordi, ottimi insegnanti",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
29,29230,TNTD37500F,Ricco di servizi,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
30,29230,TNTD37500F,Una scuola importante,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Neutral
31,29230,TNTD37500F,Super organizzata,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Positive
32,29231,TNTD37500F,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Negative
33,29231,TNTD37500F,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
34,29231,TNTD37500F,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Negative
35,29231,TNTD37500F,Ottima struttura vicina al centro città,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
36,29231,TNTD37500F,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
37,29231,TNTD37500F,Il top! La scuola migliore in assoluto!!!!!,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
38,29231,TNTD37500F,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
39,29231,TNTD37500F,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
40,29231,TNTD37500F,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
41,29231,TNTD37500F,Cultura ed educazione al primo posto!,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Neutral
42,29231,TNTD37500F,"Medie e superiori, i ricordi più belli",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
43,29231,TNTD37500F,Interessante,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
44,29231,TNTD37500F,La mia adolescenza in ottima compagnia,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
45,29231,TNTD37500F,"Splendidi ricordi, ottimi insegnanti",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
46,29231,TNTD37500F,Ricco di servizi,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
47,29231,TNTD37500F,Una scuola importante,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Neutral
48,29231,TNTD37500F,Super organizzata,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Positive
49,29232,TNPC01500V,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Negative
50,29232,TNPC01500V,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
51,29232,TNPC01500V,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Negative
52,29232,TNPC01500V,Ottima struttura vicina al centro città,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
53,29232,TNPC01500V,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
54,29232,TNPC01500V,Il top! La scuola migliore in assoluto!!!!!,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
55,29232,TNPC01500V,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
56,29232,TNPC01500V,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
57,29232,TNPC01500V,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
58,29232,TNPC01500V,Cultura ed educazione al primo posto!,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Neutral
59,29232,TNPC01500V,"Medie e superiori, i ricordi più belli",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
60,29232,TNPC01500V,Interessante,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
61,29232,TNPC01500V,La mia adolescenza in ottima compagnia,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
62,29232,TNPC01500V,"Splendidi ricordi, ottimi insegnanti",LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
63,29232,TNPC01500V,Ricco di servizi,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
64,29232,TNPC01500V,Una scuola importante,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Neutral
65,29232,TNPC01500V,Super organizzata,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Positive
66,29233,TNPL085003,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Negative
67,29233,TNPL085003,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
68,29233,TNPL085003,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Negative
69,29233,TNPL085003,Ottima struttura vicina al centro città,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
70,29233,TNPL085003,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
71,29233,TNPL085003,Il top! La scuola migliore in assoluto!!!!!,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
72,29233,TNPL085003,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
73,29233,TNPL085003,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
74,29233,TNPL085003,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
75,29233,TNPL085003,Cultura ed educazione al primo posto!,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Neutral
76,29233,TNPL085003,"Medie e superiori, i ricordi più belli",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
77,29233,TNPL085003,Interessante,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
78,29233,TNPL085003,La mia adolescenza in ottima compagnia,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
79,29233,TNPL085003,"Splendidi ricordi, ottimi insegnanti",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
80,29233,TNPL085003,Ricco di servizi,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
81,29233,TNPL085003,Una scuola importante,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Neutral
82,29233,TNPL085003,Super organizzata,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Positive
83,29234,TNPS015002,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Negative
84,29234,TNPS015002,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
85,29234,TNPS015002,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Negative
86,29234,TNPS015002,Ottima struttura vicina al centro città,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
87,29234,TNPS015002,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
88,29234,TNPS015002,Il top! La scuola migliore in assoluto!!!!!,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
89,29234,TNPS015002,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
90,29234,TNPS015002,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
91,29234,TNPS015002,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Positive
92,29234,TNPS015002,Cultura ed educazione al primo posto!,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Neutral
93,29235,TN1E00100V,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Negative
94,29235,TN1E00100V,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
95,29235,TN1E00100V,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Negative
96,29235,TN1E00100V,Ottima struttura vicina al centro città,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
97,29235,TN1E00100V,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
98,29235,TN1E00100V,Il top! La scuola migliore in assoluto!!!!!,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
99,29235,TN1E00100V,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
100,29235,TN1E00100V,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
101,29235,TN1E00100V,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
102,29235,TN1E00100V,Cultura ed educazione al primo posto!,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Neutral
103,29235,TN1E00100V,"Medie e superiori, i ricordi più belli",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
104,29235,TN1E00100V,Interessante,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
105,29235,TN1E00100V,La mia adolescenza in ottima compagnia,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
106,29235,TN1E00100V,"Splendidi ricordi, ottimi insegnanti",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
107,29235,TN1E00100V,Ricco di servizi,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
108,29235,TN1E00100V,Una scuola importante,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Neutral
109,29235,TN1E00100V,Super organizzata,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Positive
110,29236,TN1M00400G,"Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a ""conoscenze e simpatia"", attaccando così l'autostima dell'individuo, regalano a questo Istituto un giudizio negativo!Una stella? Anche troppo! E mi dispiace perché l'esperienza alle elementari è stata ottima. Ma alle medie..un incubo! La poca professionalità di alcuni docenti, l'insensibilità e la superficialità nel rifilare valutazioni in base a …Altro",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Negative
111,29236,TN1M00400G,"Oltre a struttura ricettiva per gli studenti questo complesso ospita un bellissimo auditorium ed una chiesa.L'auditorium fornito di ottima attrezzatura luci di base ed impianto audio con ""Vox"". Tecnici disponibili.",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
112,29236,TN1M00400G,Esperienza personale delle scuole medie da dimenticare! Poca professionalità e sensibilità. Le statali superano di gran lunga e senza oneri..,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Negative
113,29236,TN1M00400G,Ottima struttura vicina al centro città,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
114,29236,TN1M00400G,"Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato.Mensa eccellente sia nella tipologia e varietà di cibi che nella loro preparazione.Struttura eccellente, collegio per universitari molto molto tranquillo. Disponibilità di camere sufficientemente spaziose, con aria condizionata e bagno privato. …Altro",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
115,29236,TN1M00400G,Il top! La scuola migliore in assoluto!!!!!,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
116,29236,TN1M00400G,"Premesso che della struttura ho usufruito solo della mensa, si può dire che il cibo cucinato in essa sia gradevole, abbastanza vari sono i piatti proposti, il luogo è pulito.",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
117,29236,TN1M00400G,"Ho utilizzato solo la mensa dell'intera struttura e devo dire che mi sono trovato molto bene. Ambiente pulito, cibo diversificato e servizio ben organizzato.",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
118,29236,TN1M00400G,"Ottima residenza universitaria, molto tranquilla e adatta allo studio.",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
119,29236,TN1M00400G,Cultura ed educazione al primo posto!,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Neutral
120,29236,TN1M00400G,"Medie e superiori, i ricordi più belli",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
121,29236,TN1M00400G,Interessante,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
122,29236,TN1M00400G,La mia adolescenza in ottima compagnia,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
123,29236,TN1M00400G,"Splendidi ricordi, ottimi insegnanti",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
124,29236,TN1M00400G,Ricco di servizi,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
125,29236,TN1M00400G,Una scuola importante,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Neutral
126,29236,TN1M00400G,Super organizzata,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Positive
127,29245,TN1E005006,La migliore scuola elementare di Trento,SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO,Positive
128,29247,TNCF009001,Il massimo per innovazione e professionalità. Top👍,SETTORE INDUSTRIA E ARTIGIANATO,Positive
129,29247,TNCF009001,Scuola professionale di altissimo livello. Insegnanti molto preparati. Struttura di accellenza nel suo campo.,SETTORE INDUSTRIA E ARTIGIANATO,Positive
130,29247,TNCF009001,Posto interessante,SETTORE INDUSTRIA E ARTIGIANATO,Positive
131,29249,TNFP249STA,Ottimo centro con tanti simpatici ragazzi con tanta voglia di imparare,SETTORE INDUSTRIA E ARTIGIANATO,Positive
132,29249,TNFP249STA,Scuola professionale di alto livello.,SETTORE INDUSTRIA E ARTIGIANATO,Neutral
133,29249,TNFP249STA,"Professionalità, Qualità",SETTORE INDUSTRIA E ARTIGIANATO,Positive
134,29333,,"Professionalità, Qualità","Scuola dell'Infanzia di Levico Terme ""Taita Marcos""",Positive
135,29333,,Bellissimi i tempi dell' asilo,"Scuola dell'Infanzia di Levico Terme ""Taita Marcos""",Positive
136,29333,,Parcheggio scarso,"Scuola dell'Infanzia di Levico Terme ""Taita Marcos""",Negative
137,29254,TNFP251STA,The best scuola ever,SETTORE INDUSTRIA E ARTIGIANATO,Positive
138,29254,TNFP251STA,La migliore scuola!!,SETTORE INDUSTRIA E ARTIGIANATO,Positive
139,29258,TNFP254STA,Piacevolmente colpito dalla serietà di insegnanti e dirigente...,SETTORE INDUSTRIA E ARTIGIANATO,Positive
